gene_name	count	amino_acid_length	length
FAM124A	7	582	61874
FAM124B	8	455	23387
FAM126A	2	521	72871
FAM126B	2	530	97953
FAM127C	1	113	2016
FAM129A	32	928	183824
FAM129B	15	746	73650
FAM129C	27	697	30538
FAM131A	2	366	10349
FAM131B	7	360	9370
FAM131C	15	280	15863
FAM132A	6	302	4276
FAM133A	3	248	38261
FAM133B	6	247	29601
FAM134A	13	543	9254
FAM134B	6	497	144020
FAM135A	180	1515	148233
FAM135B	32	1406	366799
FAM136A	1	245	6115
FAM13A	16	1023	385443
FAM13B	5	915	114001
FAM13C	15	606	117049
FAM149A	12	773	68248
FAM149B1	13	582	76338
FAM150B	2	152	9293
FAM151A	33	585	14374
FAM151B	9	276	54594
FAM153A	8	310	75417
FAM153B	19	387	71569
FAM153C	1	175	49154
FAM154A	7	474	105595
FAM154B	7	398	22120
FAM155A	47	458	698200
FAM155B	12	472	27267
FAM159B	3	160	27782
FAM160A1	15	1040	254416
FAM160A2	21	986	23376
FAM160B1	12	765	78088
FAM160B2	10	743	15739
FAM161A	38	716	29289
FAM161B	3	710	18913
FAM162A	5	154	28158
FAM163A	183	167	73035
FAM163B	13	166	7240
FAM166A	8	317	4186
FAM166B	4	275	2068
FAM167A	18	214	53252
FAM168A	6	244	197702
FAM169A	9	670	89377
FAM169B	5	192	77220
FAM170A	10	330	6263
FAM171A1	15	890	159419
FAM171A2	18	826	10660
FAM171B	131	826	71987
FAM172A	13	416	493629
FAM173A	5	235	2020
FAM173B	1	233	23567
FAM174A	4	190	51436
FAM174B	431	159	192441
FAM175A	7	409	62409
FAM175B	1	415	34885
FAM177A1	4	236	68223
FAM177B	4	158	13598
FAM178A	9	1186	52567
FAM178B	15	827	142555
FAM179A	22	1019	104762
FAM179B	28	1773	112223
FAM181A	5	354	10714
FAM181B	9	426	1853
FAM184A	5	1140	189624
FAM184B	14	1060	152206
FAM185A	24	392	60254
FAM186A	661	2351	70392
FAM186B	72	893	22754
FAM187B	4	369	3929
FAM188A	2	445	82350
FAM188B	13	757	120969
FAM189A1	6	539	450470
FAM189A2	1	450	67883
FAM189B	7	668	8278
FAM192A	2	254	33650
FAM193A	17	1265	107304
FAM194A	54	663	44086
FAM194B	1194	696	81217
FAM195B	2	118	10891
FAM196B	13	535	116476
FAM198A	8	575	80944
FAM198B	8	527	48844
FAM199X	2	388	29282
FAM19A2	3	131	570891
FAM19A3	2	169	6816
FAM19A4	6	140	200844
FAM19A5	1	180	361452
FAM200A	4	573	12228
FAM200B	11	657	23903
FAM204A	3	233	36439
FAM207A	2	230	36979
FAM208A	7	1609	63104
FAM208B	93	2430	78902
FAM209A	20	171	8955
FAM209B	56	171	3274
FAM20A	4	541	66276
FAM20B	5	409	50758
FAM20C	83	584	107742
FAM210A	2	272	63316
FAM210B	2	192	9748
FAM211A	9	344	50576
FAM211B	8	315	7587
FAM212A	50	287	1776
FAM212B	1	297	75194
FAM214A	6	1083	128500
FAM214B	29	538	12229
FAM216B	3	139	9997
FAM217A	9	508	37910
FAM217B	8	383	14916
FAM218A	1	157	2173
FAM219B	4	198	7134
FAM21A	34	1341	65621
FAM21B	22	1253	55389
FAM21C	5	1320	65761
FAM220A	5	259	19572
FAM221A	3	298	23119
FAM221B	1	402	12356
FAM222A	9	452	56279
FAM222B	4	562	99254
FAM227B	29	508	293969
FAM228A	1	208	25780
FAM22A	5	878	0
FAM22D	4	806	0
FAM22F	220	756	0
FAM22G	22	741	0
FAM24A	3	105	2410
FAM24B	4	94	30563
FAM25A	1	89	4424
FAM26E	4	309	13146
FAM26F	2	315	2401
FAM35A	6	904	97307
FAM3A	1	237	11216
FAM3B	5	274	53219
FAM3C	3	227	47513
FAM3D	6	224	32902
FAM43A	1	423	3140
FAM43B	2	329	2580
FAM45A	2	357	33898
FAM46A	94	523	261335
FAM46B	6	425	7816
FAM46C	10	391	22438
FAM46D	1	389	109807
FAM47A	31	791	2578
FAM47B	20	645	2121
FAM47C	88	1035	3307
FAM47E	3	393	69740
FAM49A	2	323	116872
FAM49B	3	324	177536
FAM50A	4	339	6528
FAM50B	1	325	1931
FAM53A	8	398	66387
FAM53B	11	422	124977
FAM53C	7	392	17792
FAM57A	2	257	10554
FAM57B	2	274	28551
FAM5B	9	783	0
FAM5C	4	766	0
FAM63A	5	517	11826
FAM63B	8	621	90708
FAM64A	8	279	7054
FAM65A	13	1239	28370
FAM65B	16	1068	244637
FAM65C	28	950	105420
FAM69A	2	428	119333
FAM69B	3	431	11480
FAM69C	3	419	22216
FAM71A	22	594	2331
FAM71B	23	605	4418
FAM71C	10	241	2293
FAM71E1	8	247	9968
FAM71F1	4	344	22682
FAM71F2	16	309	14587
FAM72A	2	149	16164
FAM72B	4	149	17921
FAM72D	1	149	16691
FAM73A	6	632	98797
FAM73B	14	593	35461
FAM76B	2	339	21467
FAM78A	2	283	18471
FAM78B	1	261	109532
FAM81A	6	368	150856
FAM81B	11	452	59110
FAM83A	4	434	31114
FAM83B	54	1011	95251
FAM83C	13	747	6670
FAM83D	15	615	26748
FAM83E	15	478	14044
FAM83F	4	500	48580
FAM83G	14	823	36015
FAM83H	34	1179	9868
FAM84A	2	292	18123
FAM84B	3	310	5951
FAM86A	9	330	13504
FAM86C1	43	165	13726
FAM8A1	36	413	11364
FAM90A1	225	464	6358
FAM91A1	4	838	46996
FAM92A1	2	289	32966
FAM92B	47	304	14149
FAM96A	2	160	21459
FAM96B	5	163	2367
FAM98A	15	518	15724
FAM98B	7	433	33583
FAM98C	20	349	5953
FAM9A	30	332	10588
FAM9B	1	226	140407
FAN1	25	1017	39256
FANCA	29	1455	79108
FANCB	7	859	29662
FANCC	6	558	218655
FANCD2	397	1471	75516
FANCE	8	536	14742
FANCF	8	374	3308
FANCG	4	622	6181
FANCI	7	1328	73312
FANCL	4	380	82129
FANCM	24	2048	64950
FANK1	50	345	113053
FAP	4	760	74467
FAR1	3	515	63676
FAR2	3	515	191877
FARP1	9	1076	307211
FARP2	24	1054	138598
FARS2	2	451	510536
FARSA	2	548	11558
FARSB	8	589	85801
FAS	2	335	25128
FASLG	2	281	7860
FASN	24	2511	19994
FASTK	22	549	4242
FASTKD1	7	847	44126
FASTKD2	10	710	27152
FASTKD3	23	662	9878
FASTKD5	4	764	13378
FAT1	69	4588	138939
FAT2	107	4349	64851
FAT3	107	4589	544356
FAT4	99	4981	176533
FATE1	1	183	7159
FAXC	4	409	78893
FBF1	17	1147	31566
FBL	3	321	11956
FBLIM1	8	374	29987
FBLN1	15	721	98897
FBLN2	22	1231	106098
FBLN5	13	489	78575
FBLN7	11	439	49829
FBN1	15	2871	237543
FBN2	31	2912	401277
FBN3	79	2809	84444
FBP1	3	338	37116
FBP2	8	339	35073
FBRS	39	980	12383
FBRSL1	45	1045	95637
FBXL12	6	326	17549
FBXL13	7	735	261978
FBXL15	1	300	3947
FBXL16	4	479	13329
FBXL18	8	801	82463
FBXL19	6	694	25728
FBXL2	1	423	126637
FBXL20	1	438	143392
FBXL22	6	247	5075
FBXL3	2	428	34590
FBXL4	6	621	79429
FBXL5	5	691	77140
FBXL6	6	539	3945
FBXL8	5	374	4639
FBXO10	13	956	77982
FBXO11	12	927	116477
FBXO15	3	510	74512
FBXO16	6	316	142031
FBXO18	5	1094	48021
FBXO2	22	296	7418
FBXO21	6	628	47190
FBXO22	8	403	31409
FBXO24	49	618	17135
FBXO25	7	367	64797
FBXO27	16	283	42071
FBXO28	5	368	47960
FBXO3	7	471	33604
FBXO30	13	745	21251
FBXO31	1	539	65155
FBXO32	4	355	43317
FBXO33	99	555	34831
FBXO34	5	711	90615
FBXO36	2	188	90807
FBXO38	13	1188	58901
FBXO39	9	442	20878
FBXO4	3	387	16489
FBXO40	12	709	37173
FBXO41	31	936	29749
FBXO43	9	708	12440
FBXO44	19	256	8952
FBXO45	4	286	20448
FBXO46	19	603	20275
FBXO47	2	452	30970
FBXO48	2	155	7839
FBXO6	14	293	10230
FBXO7	5	522	24155
FBXO8	3	319	47606
FBXW10	18	1061	35336
FBXW11	6	542	145324
FBXW12	10	464	28957
FBXW2	3	454	41434
FBXW4	2	412	84629
FBXW5	10	566	4261
FBXW8	15	598	120192
FBXW9	3	488	8590
FCAMR	21	577	12660
FCAR	5	287	16134
FCER1A	9	257	18510
FCER1G	5	112	5465
FCER2	2	321	13388
FCGBP	159	5405	86570
FCGR1A	1	374	9847
FCGR1B	2	280	8958
FCGR2A	11	317	18583
FCGR2B	66	310	97343
FCGR3A	3	290	89368
FCGR3B	3	269	8767
FCGRT	2	365	19517
FCHO1	16	896	40850
FCHO2	11	810	134541
FCHSD1	14	690	12117
FCHSD2	3	764	305516
FCN1	21	326	8378
FCN2	3	313	7270
FCN3	19	299	5712
FCRL1	20	429	25702
FCRL2	10	508	31399
FCRL3	9	742	26536
FCRL4	14	515	24331
FCRL5	12	977	39143
FCRL6	18	434	15740
FCRLA	5	382	7380
FCRLB	4	426	6580
FDCSP	1	85	9181
FDFT1	3	417	43736
FDPS	3	419	11918
FDX1	2	184	34998
FDX1L	3	145	10588
FDXACB1	17	624	7187
FDXR	4	534	10537
FECH	3	429	38489
FEM1A	4	669	3843
FEM1B	7	627	18062
FEM1C	5	617	23983
FEN1	2	380	4607
FER	5	822	449019
FER1L6	28	1857	268075
FERMT1	8	677	48699
FERMT2	4	687	95167
FERMT3	20	667	17204
FES	84	822	12081
FETUB	10	382	17172
FEV	25	238	4570
FEZ1	17	392	50567
FEZ2	6	380	94660
FEZF1	6	475	9297
FEZF2	6	459	4643
FFAR1	2	300	922
FFAR2	6	330	7860
FFAR3	22	346	2025
FFAR4	3	377	37815
FGA	13	866	7640
FGB	2	491	8130
FGD1	5	961	50712
FGD2	24	655	23424
FGD3	9	725	88785
FGD4	8	903	246521
FGD5	41	1462	115426
FGD6	28	1430	140733
FGF1	4	155	105874
FGF10	3	208	86162
FGF11	5	225	6664
FGF17	3	216	6411
FGF18	6	207	37967
FGF19	2	216	6410
FGF2	3	288	71528
FGF20	5	211	10012
FGF21	11	209	2771
FGF22	5	170	3824
FGF23	1	251	11501
FGF3	1	239	8800
FGF4	3	206	2374
FGF5	7	268	70081
FGF6	4	208	17459
FGF7	21	194	65679
FGF8	1	244	5955
FGF9	2	208	33115
FGFBP1	6	234	3171
FGFBP2	1	223	9066
FGFBP3	2	258	2894
FGFR1	6	853	57696
FGFR1OP	13	399	53531
FGFR1OP2	1	253	28267
FGFR2	2	822	120124
FGFR4	21	802	11258
FGFRL1	9	504	16961
FGG	3	461	8833
FGGY	10	575	471037
FGL1	3	312	45985
FGL2	2	439	6455
FGR	3	529	23213
FH	5	510	22158
FHDC1	47	1143	43344
FHIT	9	147	1502097
FHL1	2	323	63959
FHL2	9	389	80801
FHL3	9	280	8836
FHOD1	102	1164	18271
FHOD3	189	1622	482341
FIBCD1	14	461	36848
FIBIN	3	211	3002
FIBP	5	364	4798
FICD	11	458	10652
FIG4	17	907	134132
FIGF	3	354	38785
FIGLA	1	219	13333
FIGN	6	759	142616
FIGNL1	5	674	6257
FILIP1	9	1213	201879
FILIP1L	14	1135	284372
FIP1L1	1	849	917629
FIS1	4	154	12858
FITM1	10	292	1574
FITM2	5	262	8331
FIZ1	4	496	10590
FJX1	9	437	2684
FKBP10	4	582	10503
FKBP14	1	211	16097
FKBP15	10	1244	60355
FKBP1A	1	108	24184
FKBP2	1	142	3129
FKBP4	6	459	10457
FKBP5	10	457	154998
FKBP6	13	327	30461
FKBP7	4	222	14936
FKBP8	4	441	12326
FKBP9	25	623	49526
FKBPL	2	349	1584
FKRP	82	495	30942
FKTN	1	461	82988
FLAD1	6	587	9773
FLCN	3	579	24976
FLG	536	4061	23028
FLG2	111	2391	11271
FLI1	8	452	126732
FLII	40	1269	14080
FLJ00096	21	208	0
FLNA	20	2647	26114
FLNB	79	2633	163855
FLNC	48	2725	28897
FLOT1	5	427	13830
FLOT2	25	483	18344
FLRT1	9	674	15985
FLRT2	10	660	98546
FLRT3	8	649	14628
FLT1	10	1338	194776
FLT3LG	5	235	12024
FLT4	15	1363	48118
FLVCR1	2	555	41108
FLVCR2	2	526	84597
FLYWCH1	23	765	39271
FLYWCH2	2	144	16196
FMN1	70	1419	429150
FMN2	1404	1722	460841
FMNL1	110	1104	25876
FMNL2	59	1092	314597
FMNL3	7	1028	70224
FMO1	7	532	37479
FMO2	44	471	27475
FMO3	5	532	26941
FMO4	4	558	27876
FMO5	6	533	39379
FMOD	2	376	10861
FMR1	125	632	39176
FMR1NB	4	255	45338
FN1	29	2477	75732
FN3K	12	309	15622
FN3KRP	22	309	13645
FNBP1	9	617	156007
FNBP4	281	1017	50923
FNDC1	1870	1894	102712
FNDC3A	10	1198	233867
FNDC3B	11	1204	362037
FNDC4	3	234	3362
FNDC5	1	137	10214
FNDC7	23	734	30086
FNDC8	7	324	9153
FNDC9	3	224	4121
FNIP1	9	1651	155303
FNIP2	28	1137	138911
FNTA	3	206	51594
FNTB	8	437	148165
FOCAD	23	1801	337646
FOLH1	50	750	62035
FOLR1	10	257	6743
FOLR2	4	255	5349
FOPNL	3	198	22905
FOS	6	380	3456
FOSB	4	338	7184
FOSL1	2	271	8524
FOSL2	7	326	24864
FOXA1	4	472	10056
FOXA2	7	463	4450
FOXA3	7	350	9808
FOXB1	4	325	57508
FOXB2	9	432	1298
FOXC1	77	553	3446
FOXC2	8	501	1682
FOXD2	33	495	4674
FOXD3	4	478	2067
FOXD4	95	439	2180
FOXD4L1	238	408	2067
FOXD4L3	2	417	2217
FOXD4L4	1	416	3108
FOXD4L5	15	416	3108
FOXD4L6	1	417	2724
FOXE1	426	373	3450
FOXE3	7	319	1979
FOXF1	4	379	3943
FOXF2	70	444	5763
FOXG1	19	489	3820
FOXH1	5	365	2923
FOXI1	6	378	3826
FOXJ1	3	421	4966
FOXJ2	4	574	22800
FOXJ3	3	622	159338
FOXK1	51	733	127686
FOXK2	42	660	124949
FOXL1	2	345	5329
FOXM1	17	801	19359
FOXN1	62	648	32653
FOXN2	3	431	64657
FOXN3	4	490	494278
FOXN4	5	517	31241
FOXO1	6	655	110930
FOXO3	10	673	124939
FOXP1	6	679	629296
FOXP2	7	740	607445
FOXP3	2	456	14390
FOXP4	27	680	55958
FOXQ1	54	403	2317
FOXR1	3	292	9584
FOXRED1	258	486	9076
FOXRED2	17	684	19911
FOXS1	4	330	1317
FPGS	3	587	19730
FPGT	6	594	35874
FPGT-TNNI3K	9	936	345747
FPR1	6	350	58938
FPR2	4	351	18500
FPR3	2	353	31026
FRA10AC1	1	315	34689
FRAT1	1	279	2650
FRAT2	16	233	2203
FREM1	30	2180	176329
FREM2	28	3169	198808
FRG1	637	258	22416
FRG2	41	279	2906
FRG2B	771	279	2900
FRK	4	505	129609
FRMD1	13	549	25812
FRMD3	63	597	295556
FRMD4A	112	1039	818435
FRMD4B	13	1034	372593
FRMD5	8	570	324488
FRMD6	4	622	241627
FRMD7	5	714	51027
FRMD8	13	464	26926
FRMPD1	25	1578	95904
FRMPD2	24	1309	118340
FRMPD4	14	1322	586057
FRRS1	23	626	57928
FRRS1L	11	344	36998
FRS2	4	508	109433
FRS3	10	492	16366
FRY	32	3013	265357
FRYL	37	3013	282961
FRZB	2	325	33888
FSCB	16	825	2937
FSCN1	7	493	13847
FSCN2	40	516	8734
FSCN3	5	498	10735
FSD1	4	496	19243
FSD1L	8	530	104637
FSD2	9	749	50708
FSHR	3	695	192380
FSIP1	1	581	182799
FST	4	344	6725
FSTL1	13	308	58960
FSTL3	2	263	6993
FSTL4	13	842	416108
FSTL5	49	847	780138
FTCD	13	572	19305
FTH1	3	183	7942
FTHL17	3	183	810
FTL	1	175	1577
FTMT	7	242	869
FTO	17	505	417978
FTSJ2	1	246	7974
FTSJ3	6	847	10579
FTSJD1	82	770	0
FTSJD2	9	835	0
FUBP1	8	665	35054
FUBP3	8	572	59387
FUCA1	12	466	23217
FUCA2	8	467	16879
FUK	24	1090	25853
FUNDC1	8	155	19362
FUNDC2	1	189	34323
FUOM	2	154	2871
FURIN	17	794	14866
FUS	15	527	11696
FUT1	6	365	7379
FUT10	12	479	102598
FUT11	9	492	7960
FUT2	2	343	9979
FUT3	11	361	8586
FUT4	7	530	6046
FUT5	8	374	37961
FUT6	22	364	9121
FUT7	9	342	2836
FUT8	6	575	333529
FUT9	4	359	199628
FUZ	9	418	10507
FXN	2	210	64919
FXR1	1	621	114612
FXR2	33	673	23641
FXYD2	5	66	27854
FXYD3	2	144	8496
FXYD4	9	89	4693
FXYD5	1	194	15153
FXYD6	2	111	40508
FXYD6-FXYD2	2	112	56504
FYB	7	839	169292
FYCO1	32	1498	77920
FYN	6	537	213120
FYTTD1	4	318	50417
FZD1	97	647	4340
FZD10	8	581	3281
FZD2	5	565	1982
FZD3	4	666	80046
FZD5	11	585	6977
FZD6	5	706	34433
FZD7	2	574	3850
FZD8	2	694	3185
FZD9	7	591	2341
FZR1	4	496	32057
G0S2	1	103	968
G3BP1	3	466	41740
G3BP2	2	482	81743
G6PC	1	357	12572
G6PC2	16	355	8755
G6PC3	1	346	5606
G6PD	7	561	16181
GAA	25	952	18323
GAB1	10	724	137806
GAB2	3	676	203051
GAB3	6	587	76329
GAB4	15	574	46286
GABARAP	1	117	2756
GABARAPL2	1	117	11530
GABBR1	4	961	77562
GABBR2	8	941	421088
GABPA	1	454	37890
GABPB1	1	395	78216
GABRA1	5	456	52778
GABRA2	2	511	226803
GABRA3	4	492	285124
GABRA4	4	554	75507
GABRA5	2	462	82844
GABRA6	8	453	155530
GABRB1	1	474	432721
GABRB2	2	512	260614
GABRB3	3	529	395993
GABRD	7	452	11412
GABRE	4	506	21556
GABRG1	8	465	88312
GABRG2	3	515	87996
GABRP	9	440	50697
GABRQ	6	632	19362
GABRR1	4	479	53777
GABRR2	2	490	58091
GAD1	11	594	47938
GAD2	2	585	88251
GADD45A	6	165	3277
GADD45G	2	159	1542
GADD45GIP1	23	222	3078
GADL1	9	521	168565
GAGE10	1	116	16175
GAGE12C	1	117	7327
GAGE12E	2	117	7316
GAGE12G	7	117	7320
GAGE12J	4	117	7327
GAGE13	3	117	7272
GAGE2A	2	116	7298
GAGE2B	4	116	7289
GAGE2C	8	116	7299
GAGE2D	154	116	7260
GAGE2E	6	116	7316
GAK	24	1311	83097
GAL	3	123	7396
GAL3ST1	7	423	19952
GAL3ST2	7	398	27383
GAL3ST3	12	431	7228
GAL3ST4	9	486	9506
GALC	187	685	155845
GALE	2	348	5182
GALK1	3	422	14117
GALK2	1	458	212213
GALM	4	342	75327
GALNS	9	522	43236
GALNT10	9	603	230254
GALNT11	16	608	96666
GALNT12	13	581	42382
GALNT13	17	561	581935
GALNT14	6	557	244735
GALNT15	6	639	57343
GALNT16	26	558	95189
GALNT18	3	607	351129
GALNT2	4	571	224334
GALNT3	18	633	47091
GALNT5	36	940	56613
GALNT6	6	622	41620
GALNT7	10	657	155214
GALNT8	4	637	130770
GALNT9	1	603	225011
GALNTL5	6	443	63555
GALNTL6	14	601	1229305
GALP	3	116	9755
GALR1	7	349	18353
GALR2	14	387	2747
GALR3	3	368	2113
GALT	5	379	10468
GAMT	3	269	4478
GAN	4	597	75932
GANAB	22	966	21806
GANC	11	914	80433
GAP43	12	274	98166
GAPDH	5	335	4444
GAPDHS	4	408	11904
GAPT	6	157	5655
GAPVD1	29	1487	105413
GAR1	1	217	9227
GAREM	9	876	345607
GARNL3	13	1013	169395
GARS	5	739	39352
GART	11	1010	39559
GAS1	6	345	2825
GAS2	2	313	187413
GAS2L1	7	537	6202
GAS2L2	24	880	8367
GAS2L3	10	694	54603
GAS6	61	721	43524
GAS7	3	476	287942
GAS8	6	478	25346
GAST	1	101	3643
GATA2	3	480	13758
GATA3	8	444	21594
GATA4	3	443	83043
GATA6	3	595	33087
GATAD1	3	269	11383
GATAD2A	10	634	123105
GATAD2B	5	593	118250
GATC	3	136	15148
GATM	4	423	41203
GATS	1	163	71572
GATSL3	8	329	4510
GBA	2	536	10218
GBA2	9	933	13120
GBAS	4	286	48388
GBF1	24	1859	137367
GBGT1	7	347	10992
GBP1	16	592	13041
GBP2	7	591	44324
GBP3	4	595	16228
GBP4	10	640	17784
GBP5	10	586	13911
GBP6	33	633	22403
GBP7	29	638	44289
GBX1	6	363	26156
GBX2	3	348	3133
GC	7	493	62348
GCA	2	217	52755
GCAT	2	445	9271
GCC1	7	775	12993
GCC2	17	1684	60854
GCDH	12	438	23181
GCFC2	15	781	58989
GCK	11	466	53897
GCKR	9	625	26845
GCLC	4	637	119629
GCM1	2	436	21865
GCM2	9	506	8718
GCN1L1	29	2671	67506
GCNT1	8	428	87580
GCNT2	47	402	137145
GCNT3	12	438	45364
GCNT4	5	453	3435
GCOM1	24	765	122837
GCSAM	6	180	12464
GCSAML	6	135	70632
GCSH	1	173	14442
GDA	4	471	142598
GDAP1	2	358	167742
GDAP2	1	497	66146
GDF1	17	372	27544
GDF10	7	478	13161
GDF11	3	407	13847
GDF15	11	308	14445
GDF2	18	429	3761
GDF3	2	364	5994
GDF5	5	501	21423
GDF5OS	1	250	2421
GDF6	8	455	18458
GDF7	29	450	6994
GDF9	1	454	5703
GDI1	6	447	6547
GDI2	2	449	76909
GDPD2	2	590	10359
GDPD3	10	318	9046
GDPD4	122	623	85129
GDPD5	6	605	91263
GDPGP1	2	385	8275
GEM	8	296	13097
GEMIN2	75	280	22750
GEMIN4	42	1058	9585
GEMIN5	9	1508	50793
GEMIN6	2	167	33466
GEMIN7	2	131	12329
GEMIN8	4	242	21614
GEN1	172	908	31507
GET4	18	327	19884
GFAP	10	438	11929
GFI1	18	422	12114
GFI1B	3	330	46151
GFM1	16	770	48297
GFM2	453	779	46167
GFOD1	16	390	129832
GFOD2	12	385	44890
GFPT1	2	699	67477
GFPT2	8	682	52697
GFRA1	4	465	216535
GFRA2	2	464	121954
GFRA3	4	400	22292
GFRA4	2	299	4107
GFRAL	27	394	75024
GGA1	17	656	25090
GGA2	6	613	58453
GGA3	4	723	25750
GGACT	1	153	57972
GGCX	6	758	16824
GGH	2	318	24092
GGN	22	652	3817
GGNBP2	2	697	45515
GGT1	450	569	45254
GGT5	15	587	25488
GGT6	8	499	3891
GGT7	6	662	28140
GGTLC1	18	225	3726
GGTLC2	8	225	1588
GH1	2	217	1619
GH2	9	256	1717
GHDC	10	530	5714
GHITM	6	345	13805
GHR	2	638	298100
GHRH	2	108	10749
GHRHR	5	423	54585
GHSR	2	366	3323
GID8	2	228	7525
GIF	8	417	16233
GIGYF1	20	1035	9941
GIGYF2	311	1321	163276
GIMAP1	2	306	7727
GIMAP2	6	337	7944
GIMAP4	10	343	6676
GIMAP5	16	307	27780
GIMAP6	119	292	7010
GIMAP7	3	300	6243
GIMAP8	74	665	28762
GIN1	8	522	34151
GINM1	5	330	25454
GINS2	5	185	13875
GINS3	5	255	111064
GINS4	1	223	15840
GIP	2	153	10042
GIPC1	6	333	18372
GIPC2	6	315	158907
GIPC3	4	312	7988
GIPR	11	466	15480
GIT1	6	770	20585
GIT2	10	759	66587
GJA1	3	382	14035
GJA10	7	543	1651
GJA3	4	435	22794
GJA4	7	333	2749
GJA5	3	358	17152
GJA8	3	433	6446
GJA9	2	515	17114
GJB1	6	283	10322
GJB2	7	226	5428
GJB3	3	270	5180
GJB4	47	266	3983
GJB5	2	273	3465
GJB6	4	261	10424
GJB7	7	223	46300
GJC1	2	396	32368
GJC2	7	439	9974
GJC3	3	279	6351
GJD2	2	321	3933
GJD4	21	370	3525
GK	2	553	77249
GK2	14	553	1864
GKAP1	8	366	90095
GKN1	2	199	6401
GLA	2	429	10122
GLB1	9	725	100622
GLB1L	9	654	8872
GLB1L2	10	636	46467
GLB1L3	9	653	45319
GLCCI1	20	547	125477
GLCE	10	617	111633
GLDC	51	1020	113186
GLDN	10	551	66384
GLE1	7	698	37588
GLG1	50	1203	155156
GLI1	10	1106	12127
GLI2	25	1586	257030
GLI3	17	1580	276921
GLI4	3	376	9498
GLIPR1	5	266	23173
GLIPR1L1	6	242	35921
GLIPR1L2	7	344	41618
GLIPR2	2	154	27178
GLIS1	10	620	227967
GLIS2	6	524	24836
GLIS3	20	930	524265
GLMN	16	594	52585
GLO1	1	184	27216
GLOD4	2	313	25244
GLP1R	1	463	38945
GLP2R	4	553	69896
GLRA1	5	457	102329
GLRA2	3	452	202514
GLRA3	7	464	192400
GLRA4	10	417	21431
GLRB	11	497	96033
GLRX	2	106	71686
GLRX2	2	165	9646
GLRX3	2	335	48122
GLS	4	669	84725
GLS2	4	602	17462
GLT1D1	10	351	131537
GLT25D1	20	622	0
GLT25D2	15	626	0
GLT6D1	7	276	15884
GLT8D2	8	349	75199
GLTP	7	209	29545
GLTPD1	7	214	4141
GLTPD2	10	291	1431
GLTSCR1	27	1560	95080
GLTSCR1L	7	1079	86533
GLTSCR2	30	478	11536
GLUD1	4	558	44380
GLUD2	18	558	2332
GLUL	4	373	10502
GLYAT	1	296	91548
GLYATL1	11	333	138129
GLYATL2	3	294	70146
GLYATL3	5	288	27089
GLYCTK	3	523	8167
GLYR1	7	553	44139
GM2A	2	193	58290
GMCL1	5	515	51754
GMEB1	6	573	50621
GMEB2	13	530	39439
GMFB	1	149	14712
GMFG	2	142	14019
GMIP	18	970	14191
GML	3	158	82259
GMNN	2	209	11168
GMPPA	24	473	8121
GMPPB	3	387	7107
GMPR	2	345	56969
GMPR2	5	427	6820
GMPS	8	693	73490
GNA12	3	381	116212
GNA14	5	355	225228
GNA15	1	374	27576
GNAI1	3	354	85447
GNAI2	3	355	33063
GNAI3	2	354	45742
GNAL	5	458	196729
GNAO1	2	354	166054
GNAT1	5	350	4904
GNAT2	4	354	9790
GNAT3	11	354	53349
GNAZ	2	355	54684
GNB1L	13	327	71715
GNB2	1	340	5643
GNB2L1	1	320	11187
GNB3	6	340	7439
GNB4	4	340	52388
GNB5	9	395	70449
GNE	5	753	62615
GNG11	1	73	6911
GNG12	1	72	132001
GNG13	2	67	2692
GNG2	2	110	153147
GNGT1	1	74	319692
GNL1	23	607	12181
GNL2	4	731	29119
GNL3	23	549	13336
GNL3L	30	582	30860
GNLY	9	185	13679
GNMT	3	295	3122
GNPAT	39	680	36766
GNPDA1	6	289	21292
GNPDA2	1	276	44395
GNPTAB	30	1256	85441
GNPTG	6	305	11428
GNRH1	1	92	5394
GNRH2	43	120	2125
GNRHR	1	328	15032
GNS	4	584	46002
GOLGA1	7	767	70125
GOLGA2	76	1002	20166
GOLGA3	131	1498	59949
GOLGA4	31	2243	123574
GOLGA5	8	731	45732
GOLGA6A	32	693	12693
GOLGA6B	78	693	11656
GOLGA6D	14	693	11640
GOLGA6L10	80	479	6576
GOLGA6L6	197	750	10020
GOLGA7	2	137	20584
GOLGA7B	2	167	21341
GOLGA8A	2	633	209435
GOLGA8B	3	633	63296
GOLGB1	31	3269	86556
GOLIM4	45	696	87298
GOLM1	14	401	74027
GOLPH3	4	298	49646
GOLPH3L	6	285	50929
GOLT1A	2	132	15932
GOLT1B	1	138	16627
GON4L	80	2241	109683
GOPC	3	462	284317
GORASP1	8	440	11704
GORASP2	17	464	38665
GOSR1	4	254	50230
GOSR2	6	232	104520
GOT1	4	413	33754
GOT1L1	9	421	5848
GOT2	10	430	27226
GP1BB	3	206	1826
GP2	9	537	18236
GP5	7	560	4445
GP6	15	620	24559
GP9	4	177	1639
GPA33	5	319	37795
GPAA1	3	621	3626
GPAM	22	828	65511
GPANK1	1	356	5054
GPAT2	25	795	17505
GPATCH1	61	931	49662
GPATCH2	11	528	204090
GPATCH2L	5	482	102426
GPATCH3	11	525	9978
GPATCH4	4	375	7009
GPATCH8	12	1502	108146
GPBAR1	3	330	4363
GPBP1	8	493	90731
GPBP1L1	5	474	60809
GPC1	16	597	32405
GPC2	5	579	7766
